Extract feature
Train and test
Accuracy  9.2 %
rank            importance                     label                         
141             0.0025506558126100593          Subset 10 Packet Per Second Max
142             0.0025253695971447017          Subset 4 Packet Per Second Mean
143             0.0024480200025271035          Subset 17 Packet Per Second Standard Deviation
144             0.0024265626016929756          Subset 13 Packet Per Second Standard Deviation
145             0.002371859096992523           Subset 13 Packet Per Second Min
146             0.00237154318785036            Subset 3 Packet Per Second Median
147             0.002348728593576001           Subset 17 Packet Per Second Min
148             0.002343554353475936           Subset 4 Packet Per Second Median
149             0.002337500857512197           Subset 17 Packet Per Second Max
150             0.0023256186354756302          Subset 10 Packet Per Second Min
151             0.002316045629334909           Subset 7 Packet Per Second Median
152             0.002313596124123797           Subset 2 Packet Per Second Median
153             0.0022064151774099853          Subset 3 Packet Per Second Mean
154             0.002174434170069377           Subset 7 Packet Per Second Mean
155             0.0021354972631713685          Subset 19 Packet Per Second Median
156             0.0020928478743884016          Subset 6 Packet Per Second Mean
157             0.0020767820065341084          Subset 10 Packet Per Second Standard Deviation
158             0.0020511790060367217          Subset 9 Packet Per Second Median
159             0.002045400158258362           Subset 6 Packet Per Second Median
160             0.002029592415456899           Subset 19 Packet Per Second Mean
161             0.0019194204350942278          Subset 9 Packet Per Second Mean
162             0.001887557402578209           Subset 5 Packet Per Second Mean
163             0.0018336561908937627          Subset 8 Packet Per Second Mean
164             0.0018286175365087006          Subset 5 Packet Per Second Median
165             0.0018127991673066186          Subset 18 Packet Per Second Mean
166             0.0018085320340392517          Subset 8 Packet Per Second Median
167             0.0017956522138607206          Subset 18 Packet Per Second Median
168             0.0016924459822720032          Subset 10 Packet Per Second Median
169             0.001620577354157586           Subset 12 Packet Per Second Mean
170             0.001617480173937374           Subset 15 Packet Per Second Mean
171             0.0016142279817750764          Subset 13 Packet Per Second Median
172             0.0015938805155328677          Subset 16 Packet Per Second Mean
173             0.0015727605768387884          Subset 14 Packet Per Second Median
174             0.0015578044872565041          Subset 15 Packet Per Second Median
175             0.001550051337927223           Subset 11 Packet Per Second Mean
176             0.001546479199325879           Subset 16 Packet Per Second Median
177             0.001535895849309892           Subset 14 Packet Per Second Mean
178             0.001526782614788978           Subset 17 Packet Per Second Mean
179             0.0015127239493947192          Subset 11 Packet Per Second Median
180             0.0015008271662391578          Subset 13 Packet Per Second Mean
181             0.0014955419408006025          Subset 17 Packet Per Second Median
182             0.0014845408608720567          Subset 12 Packet Per Second Median
183             0.001477447401943411           Subset 10 Packet Per Second Mean
184             0.0009333958790641177          Inter Arrival Time Max        
185             0.0                            Total Packet Count            
186             0.0                            Subset 0 Outgoing Packet Concentration Standard Deviation
187             0.0                            Subset 1 Outgoing Packet Concentration Standard Deviation
188             0.0                            Subset 2 Outgoing Packet Concentration Standard Deviation
189             0.0                            Subset 3 Outgoing Packet Concentration Standard Deviation
190             0.0                            Subset 4 Outgoing Packet Concentration Standard Deviation
191             0.0                            Subset 5 Outgoing Packet Concentration Standard Deviation
192             0.0                            Subset 6 Outgoing Packet Concentration Standard Deviation
193             0.0                            Subset 7 Outgoing Packet Concentration Standard Deviation
194             0.0                            Subset 8 Outgoing Packet Concentration Standard Deviation
195             0.0                            Subset 9 Outgoing Packet Concentration Standard Deviation
196             0.0                            Subset 10 Outgoing Packet Concentration Standard Deviation
197             0.0                            Subset 11 Outgoing Packet Concentration Standard Deviation
198             0.0                            Subset 12 Outgoing Packet Concentration Standard Deviation
199             0.0                            Subset 13 Outgoing Packet Concentration Standard Deviation
200             0.0                            Subset 14 Outgoing Packet Concentration Standard Deviation
201             0.0                            Subset 15 Outgoing Packet Concentration Standard Deviation
202             0.0                            Subset 16 Outgoing Packet Concentration Standard Deviation
203             0.0                            Subset 17 Outgoing Packet Concentration Standard Deviation
204             0.0                            Subset 18 Outgoing Packet Concentration Standard Deviation
205             0.0                            Subset 19 Outgoing Packet Concentration Standard Deviation
206             0.0                            Inter Arrival Time 75 Percentile
Training time:  0  hours,  0  minutes,  22  seconds
